"name","genes"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","RXRA"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","SC5D"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","SCD"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","SMARCD3"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","SP1"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","SQLE"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","SREBF1"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","SREBF2"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","TBL1X"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","TBL1XR1"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","TGS1"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","TM7SF2"
"C2.HORTON_SREBF_TARGETS","AACS"
"C2.HORTON_SREBF_TARGETS","ACACA"
"C2.HORTON_SREBF_TARGETS","ACLY"
"C2.HORTON_SREBF_TARGETS","ACSS2"
"C2.HORTON_SREBF_TARGETS","ALDOC"
"C2.HORTON_SREBF_TARGETS","CYP51A1"
"C2.HORTON_SREBF_TARGETS","ELOVL6"
"C2.HORTON_SREBF_TARGETS","FASN"
"C2.HORTON_SREBF_TARGETS","FDFT1"
"C2.HORTON_SREBF_TARGETS","FDPS"
"C2.HORTON_SREBF_TARGETS","HMGCS1"
"C2.HORTON_SREBF_TARGETS","HSD17B7"
"C2.HORTON_SREBF_TARGETS","IDI1"
"C2.HORTON_SREBF_TARGETS","INSIG1"
"C2.HORTON_SREBF_TARGETS","LDLR"
"C2.HORTON_SREBF_TARGETS","LSS"
"C2.HORTON_SREBF_TARGETS","ME1"
"C2.HORTON_SREBF_TARGETS","PCSK9"
"C2.HORTON_SREBF_TARGETS","PMVK"
"C2.HORTON_SREBF_TARGETS","RDH11"
"C2.HORTON_SREBF_TARGETS","SC5D"
"C2.HORTON_SREBF_TARGETS","SQLE"
"C2.HORTON_SREBF_TARGETS","STARD4"
"C2.HORTON_SREBF_TARGETS","TM7SF2"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","ACACA"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","ACLY"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","ACSS1"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","AKT1"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","AMFR"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","ATF6"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","CAMP"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","CDK8"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","CREB1"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","CYP51A1"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","DBI"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","FASN"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","FDFT1"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","FDPS"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","FGF21"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","GPAM"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","GSK3A"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","HMGCR"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","HMGCS1"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","IDI1"
