"name","genes"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ITPR2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ITPR3"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","KCNB1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","KCNC2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","KCNG2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","KCNJ11"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","KCNS3"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","MARCKS"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","MLX"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","MLXIPL"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PFKFB1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PKLR"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PLCB1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PLCB2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PLCB3"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PPP2CA"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PPP2CB"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PPP2R1A"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PPP2R1B"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PPP2R5D"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PRKAA2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PRKAB2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PRKACA"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PRKACB"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PRKACG"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PRKAG2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PRKAR1A"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PRKAR1B"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PRKAR2A"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PRKAR2B"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","PRKCA"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","RAP1A"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","RAPGEF3"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","RAPGEF4"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","SLC2A1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","SLC2A2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","SNAP25"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","STK11"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","STX1A"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","STXBP1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","SYT5"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","TALDO1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","TKT"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","VAMP2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ACSS2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ALAS1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","APOO"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","APOOL"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATF2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5F1A"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5F1B"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5F1C"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5F1D"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5F1E"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5MC1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5MC2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5MC3"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5ME"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5MF"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5MG"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5MJ"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5MK"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5PB"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5PD"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5PF"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ATP5PO"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","CALM1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","CAMK4"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","CARM1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","CHCHD3"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","CHCHD6"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","CHD9"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","CREB1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","CREBBP"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","CRTC1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","CRTC2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","CRTC3"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","CYCS"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","DMAC2L"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","DNAJC11"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","ESRRA"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","GABPA"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","GABPB1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","GLUD1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","GLUD2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","HCFC1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","HDAC3"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","HELZ2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","HSPA9"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","IDH2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","IMMT"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","MAPK11"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","MAPK12"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","MAPK14"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","MED1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","MEF2C"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","MEF2D"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","MICOS10"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","MICOS13"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","MT-ATP6"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","MT-ATP8"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","MTERF1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","MTX1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","MTX2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","NCOA1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","NCOA2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","NCOA6"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","NCOR1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","NR1D1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","NRF1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","PERM1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","POLG2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","POLRMT"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","PPARA"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","PPARGC1A"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","PPARGC1B"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","PPRC1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","PRKAA2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","PRKAB1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","PRKAB2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","PRKAG1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","PRKAG2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","PRKAG3"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","RXRA"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","SAMM50"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","SIRT3"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","SIRT4"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","SIRT5"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","SMARCD3"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","SOD2"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","SSBP1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","TBL1X"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","TBL1XR1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","TFAM"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","TFB1M"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","TFB2M"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","TGS1"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","TMEM11"
"REACTOME_Mitochondrial_biogenesis_R-HSA-1592230","TWNK"
"emont.hAd6","ACOT11"
"emont.hAd6","ACSF2"
"emont.hAd6","AL139383.1"
"emont.hAd6","CDK6"
"emont.hAd6","DPP6"
"emont.hAd6","EBF2"
"emont.hAd6","EHHADH"
"emont.hAd6","KCNJ3"
"emont.hAd6","LRBA"
"emont.hAd6","LSAMP"
"emont.hAd6","MPPED2"
"emont.hAd6","PLCL2"
"emont.hAd6","POLN"
"emont.hAd6","PPP2R5A"
"emont.hAd6","PTPRS"
"emont.hAd6","RAPGEF4"
"emont.hAd6","RBMS1"
"emont.hAd6","RNLS"
"emont.hAd6","SEMA6D"
"emont.hAd6","TLE1"
"emont.hAd6","WDR86"
"emont.hAd6","ZNF804A"
"lit.thermogenic","EBF2"
"lit.thermogenic","ADRB1"
