"name","genes"
"yi.AD","PLAAT3"
"yi.AD","PDGFC"
"yi.AD","FAM49B"
"yi.AD","GBE1"
"yi.AD","SLC1A3"
"yi.AD","PTPRK"
"yi.AD","CAV2"
"yi.AD","IRS1"
"yi.AD","SVIL"
"yi.AD","MOSPD2"
"yi.AD","PRUNE2"
"yi.AD","ATL2"
"yi.AD","CAT"
"yi.AD","CIDEC"
"yi.AD","FHIT"
"yi.AD","HSDL2"
"yi.AD","RTN3"
"yi.AD","SLC7A6"
"yi.AD","FAM214A"
"yi.AD","TXLNG"
"yi.AD","AP000331.1"
"yi.AD","PANK3"
"yi.AD","FOXO1"
"yi.AD","BCKDHB"
"yi.AD","TBC1D4"
"yi.AD","CYB5A"
"yi.AD","DECR1"
"yi.AD","AL365295.1"
"yi.AD","FABP5"
"yi.AD","DOCK11"
"yi.AD","TENM4"
"yi.AD","STK38L"
"yi.AD","NRCAM"
"yi.AD","SLC22A23"
"yi.AD","COBLL1"
"yi.AD","HACD2"
"yi.AD","LIMS1"
"yi.AD","PRKAR2A"
"yi.AD","TPRG1"
"yi.AD","CPEB2"
"yi.AD","VWA8"
"yi.AD","IDI1"
"yi.AD","LRBA"
"yi.AD","FABP4"
"yi.AD","ATP2B4"
"yi.AD","STK39"
"yi.AD","POLK"
"yi.AD","COL5A3"
"yi.AD","MACROD2"
"yi.AD","PSMA1"
"yi.AD","SOS1"
"yi.AD","FDPS"
"yi.AD","ZFPM2"
"yi.AD","ACO1"
"yi.AD","ASPH"
"yi.AD","RALGAPA2"
"yi.AD","LNPEP"
"yi.AD","SLTM"
"yi.AD","ETFDH"
"yi.AD","COL4A2"
"yi.AD","PABPN1"
"yi.AD","TSPAN14"
"yi.AD","POR"
"yi.AD","RREB1"
"yi.AD","APOC1"
"yi.AD","ITIH5"
"yi.AD","CEPT1"
"yi.AD","TALDO1"
"yi.AD","UVRAG"
"yi.AD","NRIP1"
"yi.AD","TKT"
"yi.AD","CSAD"
"yi.AD","COL4A1"
"yi.AD","HSD17B4"
"yi.AD","LDLRAD3"
"yi.AD","SESTD1"
"yi.AD","HMGCS1"
"yi.AD","MSMO1"
"yi.AD","TLE1"
"yi.AD","CHCHD3"
"yi.AD","TMCC1"
"yi.AD","USP25"
"yi.AD","FADS2"
"yi.AD","MID1"
"yi.AD","PTPN4"
"yi.AD","TNS1"
"yi.AD","RNF19A"
"yi.AD","ADH1B"
"yi.AD","STAU2"
"yi.AD","ZEB2"
"yi.AD","RNF111"
"yi.AD","IBTK"
"yi.AD","DBI"
"yi.AD","EFNA5"
"yi.AD","NFIA"
"yi.AD","ATR"
"yi.AD","GSE1"
"yi.AD","SH3PXD2A"
"yi.AD","MALAT1"
"yi.AD","QKI"
"yi.AD","STARD13"
"yi.AD","MSH3"
"yi.AD","GLUL"
"yi.AD","GALNT2"
"yi.AD","PDE8A"
"yi.AD","ZNF438"
"yi.AD","LINC00472"
"yi.AD","PDK4"
"yi.AD","METTL7A"
"yi.AD","USP24"
"yi.AD","R3HDM1"
"yi.AD","PPM1B"
"yi.AD","MME"
"yi.AD","NRDC"
"yi.AD","GSK3B"
"yi.AD","TLN2"
"yi.AD","HIBCH"
"yi.AD","ANGPTL4"
"yi.AD","EPC1"
"yi.AD","MDFIC"
"yi.AD","DENND4C"
"yi.AD","HADHA"
"yi.AD","FMNL2"
"yi.AD","PCCA"
"yi.AD","CERT1"
"yi.AD","PHKB"
"yi.AD","AKR1C2"
"yi.AD","FRMD4A"
"yi.AD","UBR3"
"yi.AD","RNF13"
"yi.AD","TRPS1"
"yi.AD","SPTBN1"
"yi.AD","CD46"
"yi.AD","PPP1R12B"
"yi.AD","CFLAR"
"yi.AD","HMBOX1"
"yi.AD","FAM13A"
"yi.AD","BTG1"
"yi.AD","ETFA"
"yi.AD","GTF2I"
"yi.AD","CASK"
"yi.AD","UBE2E2"
"yi.AD","ARHGAP32"
"yi.AD","SH3GLB1"
"yi.AD","NEAT1"
"yi.AD","GTDC1"
"yi.AD","BCAR3"
"yi.AD","ZFAND6"
"yi.AD","LYPLAL1"
"yi.AD","PALM2-AKAP2"
"yi.AD","ACSL3"
"yi.AD","CCDC88A"
"yi.AD","FBXL17"
"yi.AD","GAB2"
"yi.AD","PEBP1"
"yi.AD","FBXL5"
"yi.AD","TSPAN3"
"yi.AD","CDC73"
"yi.AD","HELZ"
"yi.AD","APOE"
"yi.AD","GOLGA4"
"yi.AD","USP3"
"yi.AD","JARID2"
"yi.AD","MAST4"
"yi.AD","USP33"
"yi.AD","KIF5B"
"yi.AD","PRKN"
"yi.AD","KIF13A"
"yi.AD","MDH1"
"yi.AD","ATP2C1"
"yi.AD","SMAP1"
"yi.AD","ZNF644"
"yi.AD","OLA1"
"yi.AD","OSBPL1A"
"yi.AD","THRB"
"yi.AD","ARMC8"
"yi.AD","HADHB"
"yi.AD","ACYP2"
"yi.AD","FAF1"
"yi.AD","WDR7"
"yi.AD","CACNA2D1"
"yi.AD","TMED5"
"yi.AD","SEMA3C"
"yi.AD","CDK6"
"yi.AD","PSMD14"
"yi.AD","MGST1"
"yi.ASPC","LINC01050"
"yi.ASPC","SNTG1"
"yi.ASPC","THSD4"
"yi.ASPC","NEK10"
"yi.ASPC","LINC01060"
"yi.ASPC","CHI3L1"
"yi.ASPC","ADAMTS6"
"yi.ASPC","NTNG1"
"yi.ASPC","HMCN1"
"yi.ASPC","COLEC12"
"yi.ASPC","MIR31HG"
"yi.ASPC","MIR503HG"
"yi.ASPC","HMGA2"
"yi.ASPC","FAP"
"yi.ASPC","IFT80"
"yi.ASPC","MIR222HG"
"yi.ASPC","DPP4"
"yi.ASPC","ADAMTSL1"
"yi.ASPC","ABI3BP"
"yi.ASPC","ANKH"
"yi.ASPC","FAM20A"
"yi.ASPC","SLC4A7"
"yi.ASPC","CLDN11"
"yi.ASPC","KCNK2"
"yi.ASPC","DCBLD2"
"yi.ASPC","KIAA1549L"
"yi.ASPC","TSPAN5"
"yi.ASPC","SLIT2"
"yi.ASPC","TRERF1"
"yi.ASPC","MIR100HG"
"yi.ASPC","TSHZ3"
"yi.ASPC","FN1"
"yi.ASPC","IGFBP6"
"yi.ASPC","CDH11"
"yi.ASPC","DOCK10"
"yi.ASPC","CCN5"
"yi.ASPC","EXT1"
"yi.ASPC","FAM227B"
"yi.ASPC","SMYD3"
"yi.ASPC","ENPP2"
"yi.ASPC","RAI14"
"yi.ASPC","ENOX1"
"yi.ASPC","PLCB1"
"yi.ASPC","BICD1"
"yi.ASPC","SRGAP1"
"yi.ASPC","UACA"
"yi.ASPC","SERTAD2"
"yi.ASPC","ADAM12"
"yi.ASPC","ROR2"
"yi.ASPC","FCHSD2"
"yi.ASPC","BICC1"
"yi.ASPC","PDGFRA"
"yi.ASPC","LINC00513"
"yi.ASPC","ARHGAP29"
"yi.ASPC","FGF7"
"yi.ASPC","LINC02511"
"yi.ASPC","TRIO"
"yi.ASPC","PRKCA"
"yi.ASPC","TIMP1"
"yi.ASPC","MEG3"
"yi.ASPC","TMTC2"
"yi.ASPC","NLK"
"yi.ASPC","ABCA9"
"yi.ASPC","SPRED1"
"yi.ASPC","MEG8"
"yi.ASPC","BACH1"
"yi.ASPC","MYO1B"
"yi.ASPC","CEP170"
"yi.ASPC","EBF2"
"yi.ASPC","SMAD3"
"yi.ASPC","DDAH1"
"yi.ASPC","SMURF2"
"yi.ASPC","PPFIBP1"
"yi.ASPC","OXR1"
"yi.ASPC","AFAP1"
"yi.ASPC","ATP2B1"
"yi.ASPC","CARMIL1"
"yi.ASPC","MTHFD1L"
"yi.ASPC","BNC2"
"yi.ASPC","SEC24D"
"yi.ASPC","MYO1E"
"yi.ASPC","IFI16"
"yi.ASPC","RECK"
"yi.ASPC","AC083870.1"
"yi.ASPC","LMCD1"
"yi.ASPC","VGLL3"
"yi.ASPC","HIVEP2"
"yi.ASPC","CNTN3"
"yi.ASPC","PPP2R3A"
"yi.ASPC","RASA2"
"yi.ASPC","TIMP3"
"yi.ASPC","LDB2"
"yi.ASPC","DTWD1"
"yi.ASPC","EMP1"
"yi.ASPC","RASAL2"
"yi.ASPC","RALGPS2"
"yi.ASPC","FRMD6"
"yi.ASPC","NUMB"
"yi.ASPC","FOXP1"
"yi.ASPC","GLIS3"
"yi.ASPC","RASSF8"
"yi.ASPC","NAV3"
"yi.ASPC","SH3RF1"
"yi.ASPC","SDCCAG8"
"yi.ASPC","AL109930.1"
"yi.ASPC","PAPPA"
"yi.ASPC","FLRT2"
"yi.ASPC","SPON2"
"yi.ASPC","CD44"
